C# ,Microsoft C# ,http://msdn.microsoft.com/en-us/library/aa288436%28v=vs.71%29.aspx
C++,The LearnCPP C++ Tutorial,http://www.learncpp.com/
C++ ,cplusplus.com C++ tutorials ,http://www.cplusplus.com/doc/tutorial/
C++ ,Tutorialspoint Java tutorials ,http://www.tutorialspoint.com/cplusplus/
COBOL,The ZingCOBOL beginners guide to COBOL Programming,http://cobol.404i.com/
Java,The Java Tutorials ,http://docs.oracle.com/javase/tutorial/
Java,Tutorialspoint Java tutorials ,http://www.tutorialspoint.com/java/
Java ,LearnJavaOnline.org Interactive Java Tutorial,http://www.learnjavaonline.org/
JavaScript,W3 Schools Javascript Tutorial ,http://www.w3schools.com/js/default.asp
JavaScript ,JavaScript for the Total Non-Programmer,http://www.webteacher.com/javascript/
Objectice C,The Objective C tutorial,http://objectivectutorial.org/
Objective C ,The objective C programming tutorials ,http://howtomakeiphoneapps.com/objective-c-tutorial/
Objective C ,Objective C beginner's Guide ,http://www.otierney.net/objective-c.html
PHP ,PHP: a Simple Tutorial ,http://php.net/manual/en/tutorial.php
Perl,Tutorialspoint Perl tutorials ,http://www.tutorialspoint.com/perl/
Python ,The Python Tutorial,http://docs.python.org/2/tutorial/
Python ,Learn Python interactive Tutorial ,http://www.learnpython.org/
Python ,Tutorialspoint Java tutorials,http://www.tutorialspoint.com/python/
Ruby,The Ruby DOC Introduction to Ruby ,http://ruby-doc.org/docs/Tutorial/
Ruby ,Ruby in Twenty Minutes ,https://www.ruby-lang.org/en/documentation/quickstart/
